C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0006542824,0001471333                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0001347863,0005085978                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0001347865,0005086007                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0001347881,0005086225                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0001347947,0005086481                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0001348041,0005086758                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0001348120,0005086891                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0001348140,0005086946                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0001348142,0005086965                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0001348162,0005087110                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0001348226,0005087382                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0001348343,0005087662                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0001348410,0005087808                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0001348421,0005087829                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0001348424,0005087956                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0001348464,0005088745                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0001348528,0005089068                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0001348784,0005089635                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0001348877,0005089854                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0001348905,0005089874                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0001348907,0005090001                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,11:00:00,REGULAR,0001348975,0005090814                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0001349061,0005091102                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0001349328,0005091632                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0001349441,0005091842                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0001349462,0005091864                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0001349467,0005091989                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0001349521,0005092870                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0001349591,0005093205                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0001349876,0005093785                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0001349982,0005094015                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0001350002,0005094042                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0001350005,0005094155                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,11:00:00,REGULAR,0001350053,0005095017                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,15:00:00,REGULAR,0001350147,0005095365                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,19:00:00,REGULAR,0001350426,0005096009                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/30/2020,23:00:00,REGULAR,0001350534,0005096361                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,03:00:00,REGULAR,0001350549,0005096381                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,07:00:00,REGULAR,0001350555,0005096490                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,11:00:00,REGULAR,0001350603,0005097312                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,15:00:00,REGULAR,0001350713,0005097686                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,19:00:00,REGULAR,0001350973,0005098263                                            
A002,R051,02-03-00,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0001351115,0005098476                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0001399492,0002145440                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0001399501,0002145469                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0001399593,0002145682                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0001399740,0002145930                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0001399952,0002146197                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0001400157,0002146374                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0001400222,0002146439                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0001400228,0002146467                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0001400291,0002146619                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0001400461,0002146886                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0001400711,0002147205                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0001400872,0002147351                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0001400907,0002147384                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0001400921,0002147490                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0001401044,0002148232                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0001401219,0002148535                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0001401745,0002149025                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/27/2020,23:00:00,REGULAR,0001402022,0002149207                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,03:00:00,REGULAR,0001402035,0002149241                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,07:00:00,REGULAR,0001402055,0002149364                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,11:00:00,REGULAR,0001402187,0002150099                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,15:00:00,REGULAR,0001402413,0002150369                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,19:00:00,REGULAR,0001402900,0002150820                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/28/2020,23:00:00,REGULAR,0001403190,0002151043                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,03:00:00,REGULAR,0001403252,0002151070                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,07:00:00,REGULAR,0001403266,0002151198                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,11:00:00,REGULAR,0001403406,0002151966                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,15:00:00,REGULAR,0001403605,0002152264                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,19:00:00,REGULAR,0001404137,0002152747                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/29/2020,23:00:00,REGULAR,0001404437,0002152946                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,03:00:00,REGULAR,0001404489,0002152977                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,07:00:00,REGULAR,0001404504,0002153104                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,11:00:00,REGULAR,0001404634,0002153916                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,15:00:00,REGULAR,0001404857,0002154215                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,19:00:00,REGULAR,0001405396,0002154722                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/30/2020,23:00:00,REGULAR,0001405678,0002155093                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,03:00:00,REGULAR,0001405748,0002155139                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,07:00:00,REGULAR,0001405768,0002155243                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,11:00:00,REGULAR,0001405915,0002156015                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,15:00:00,REGULAR,0001406142,0002156386                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,19:00:00,REGULAR,0001406669,0002156865                                            
A002,R051,02-03-01,59 ST,NQR456W,BMT,01/31/2020,23:00:00,REGULAR,0001406957,0002157059                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,03:00:00,REGULAR,0006481867,0008662368                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,07:00:00,REGULAR,0006481882,0008662405                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,11:00:00,REGULAR,0006481935,0008662557                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,15:00:00,REGULAR,0006482081,0008662741                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,19:00:00,REGULAR,0006482247,0008662908                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/25/2020,23:00:00,REGULAR,0006482405,0008662992                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,03:00:00,REGULAR,0006482450,0008663029                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,07:00:00,REGULAR,0006482458,0008663056                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,11:00:00,REGULAR,0006482519,0008663171                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,15:00:00,REGULAR,0006482688,0008663360                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,19:00:00,REGULAR,0006482897,0008663571                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/26/2020,23:00:00,REGULAR,0006483044,0008663662                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,03:00:00,REGULAR,0006483077,0008663671                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,07:00:00,REGULAR,0006483089,0008663783                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,11:00:00,REGULAR,0006483252,0008664437                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,15:00:00,REGULAR,0006483417,0008664649                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,01/27/2020,19:00:00,REGULAR,0006483904,0008664916                                            
